date,title,description,sentiment,confidence
2025-07-02,S&P 500 Hits New Record on Trade Optimism After Vietnam Deal,"US stocks advanced to a new high, with technology companies leading the charge, as President Donald Trump said he reached a trade deal with Vietnam, a move that fueled optimism more agreements are on the way.",positive,0.9288141131401062
2025-07-02,This is Your Last Day to Claim a Piece of Apple's $96 Million Siri Settlement: Here's How,"You've got till the end of today to file a claim if you're eligible for Apple's settlement money -- if you've ever called up Siri on accident, this one's for you.",neutral,0.9086024165153503
2025-07-02,Stocks soar on Vietnam trade deal as the S&P touches a new intraday high,"The U.S. stock market continued to recover from the doldrums of earlier in the year, pushing itself to new heights.",positive,0.9394019842147827
2025-07-02,Emergent BioSolutions Expands NARCANDirect® to Offer KLOXXADO® (naloxone HCl) Nasal Spray 8 mg and Convenience Kits Amid Changes in Overdose Death Rate,"Starting July 1, 2025, additional opioid overdose response tools will be available to continue addressing evolving patient and customer needs to combat public health crisis Starting July 1, 2025, additional opioid overdose response tools will be available to …",neutral,0.6749497652053833
2025-07-02,"App Store Fee Cuts Set To Boost Duolingo, Match, Bumble Earnings","Following recent legal setbacks for Apple Inc. (NASDAQ:AAPL) regarding alleged monopolistic practices and new App Store fee policies driven by the EU’s Digital Markets Act (DMA), Bank of America Securities (BofA) analyst Curtis Nagle has re-evaluated the fina…",negative,0.788195013999939
2025-07-02,"Apple, Alphabet and Tesla are holding the S&P 500 rally back","(Bloomberg/Carmen Reinicke) — Investors may be tempted to imagine how much higher the S&P 500 Index would be if three of its most influential stocks weren’t lagging behind. Apple Inc., the third-most-valuable company in the S&P 500, has seen its shares drop 1…",negative,0.9713214635848999
2025-07-02,Today is the last day to claim your share of Apple’s $95 million settlement over Siri eavesdropping,"In January, Apple agreed to pay $95 million in a settlement from a class action lawsuit in California. Today is the last day to claim… The post Today is the last day to claim your share of Apple’s $95 million settlement over Siri eavesdropping appeared first …",neutral,0.6356201171875
2025-07-02,Foxconn Requests Chinese Workers to Leave India Amid Apple’s Manufacturing Push,"Foxconn Technology Group has requested hundreds of Chinese engineers and technicians to return home from its iPhone factories in India, impacting Apple Inc.'s manufacturing operations in the region. This move is seen as a setback to Apple's efforts to expand …",negative,0.9640781879425049
2025-07-02,Stocks Supported by Chip Stock Strength and Trade News,"The S&P 500 Index ($SPX ) (SPY ) today is up +0.25%, the Dow Jones Industrials Index ($DOWI ) (DIA ) is down -0.10%, and the Nasdaq 100 Index ($IUXX ) (QQQ )...",negative,0.5063537955284119
2025-07-02,Hurry! It's your last chance to claim in Apple's $95 million Siri settlement – here's how to do it,Apple is shelling out $95 million to settle a Siri class-action lawsuit and you could be due a small slice of the payout –here's to claim in time for today's deadline.,neutral,0.8989251852035522
2025-07-02,"On theCUBE Pod: The robotics debate, stablecoins and the AI race continues","A new digital order is taking shape, with artificial intelligence scaling beyond tools into full systems. AI-driven robotics is shifting from novelty to infrastructure, and programmable capital is moving from speculation to real-world economic layers. In the …",neutral,0.8929048776626587
